VehicleID,StopOrder,StoreName,DeliveryBags,CollectionBags,CumulativeDistance(m),CumulativeTime(min),GoogleMapsLink
4,0,Warehouse,0,0,7286,26.52,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.39348%2C132.4627225%7C34.392252%2C132.464939
4,1,叙々苑 広島福屋店,2,1,7286,26.52,
4,2,ポエム/25ﾘｰｽｷﾝ,0,1,7286,26.52,
4,3,Warehouse,0,0,7286,26.52,
5,0,Warehouse,0,0,6889,23.9,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.39127990000001%2C132.4663391%7C34.3896943%2C132.4630614%7C34.38989%2C132.4634338
5,1,＃や台すし 銀山町,0,1,6889,23.9,
5,2,焼肉 ふるさと流川店,2,1,6889,23.9,
5,3,愛菜,0,1,6889,23.9,
5,4,Warehouse,0,0,6889,23.9,
6,0,Warehouse,0,0,6736,22.53,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.3913646%2C132.466224%7C34.3917491%2C132.4659207%7C34.3892516%2C132.463168
6,1,ＵＮＩＣＯ,0,1,6736,22.53,
6,2,わいわい,0,1,6736,22.53,
6,3,BLOW CASINO NAGAREKAWA/㈱ｴﾇｹｲ商事,2,1,6736,22.53,
6,4,Warehouse,0,0,6736,22.53,
7,0,Warehouse,0,0,6691,21.85,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.3894945%2C132.4633632
7,1,＃㈱大阪かに道楽 広島店,2,1,6691,21.85,
7,2,Warehouse,0,0,6691,21.85,
8,0,Warehouse,0,0,6757,22.33,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.3899554%2C132.4632446
8,1,ｍｉｘ ',1,2,6757,22.33,
8,2,Warehouse,0,0,6757,22.33,
9,0,Warehouse,0,0,7124,27.0,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.3923727%2C132.4633685%7C34.3914982%2C132.4649065
9,1,Bee広島中央通り,2,1,7124,27.0,
9,2,㈱LOOP ｸﾗﾌﾞﾊﾞﾛﾝ広島,0,1,7124,27.0,
9,3,Warehouse,0,0,7124,27.0,
10,0,Warehouse,0,0,6674,21.02,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.389736%2C132.465536
10,1,魚処 はまだ ',4,1,6674,21.02,
10,2,Warehouse,0,0,6674,21.02,
11,0,Warehouse,0,0,6434,22.18,https://www.google.com/maps/dir/?api=1&origin=34.3838094%2C132.4911016&destination=34.3838094%2C132.4911016&waypoints=34.39127990000001%2C132.4663391%7C34.3917263%2C132.4660226%7C34.3917491%2C132.4659207
11,1,和ﾀﾞｲﾆﾝｸﾞ＆BAR 遊心,0,1,6434,22.18,
11,2,Rikako,2,1,6434,22.18,
11,3,わいわい,0,1,6434,22.18,
11,4,Warehouse,0,0,6434,22.18,
