Code,StoreName,Address,CollectionType,DeliveryCount,Remarks,CleanAddress,DeliveryBags,CollectionBags,Day,Latitude,Longitude
WH,Warehouse,〒734-0022 広島県広島市南区東雲１丁目１２−２７,,,,〒734-0022 広島県広島市南区東雲１丁目１２−２７,0,0,Mon,34.3838094,132.4911016
40188,魚処 はまだ ',〒730-0027 広島県広島市中区薬研堀９−１１　横田ビル１F,白大(40本入),在庫4袋,,広島県広島市中区薬研堀９−１１　横田ビル１F,4,1,Mon,,
60860,ｍｉｘ ',〒730-0028 広島県広島市中区流川町６-11　大松ビル403,おしぼり90匁茶白(40本入),回収でてたら1置く,,広島県広島市中区流川町６-11　大松ビル403,1,2,Mon,,
40692,ポエム/25ﾘｰｽｷﾝ,〒730-0033 広島県広島市中区堀川町１−２ 船屋ビル 4F,白大(40本入),メモ,,広島県広島市中区堀川町１−２ 船屋ビル 4F,0,1,Mon,,
60199,Bee広島中央通り,〒730-0033 広島県広島市中区堀川町４−１１ 広島アサヒビール館 7F,白大(40本入),在庫2ケース,,広島県広島市中区堀川町４−１１ 広島アサヒビール館 7F,2,1,Mon,,
60321,叙々苑 広島福屋店,〒730-0021 広島県広島市中区胡町６−６ 福屋八丁堀本店 南館3F,白大(40本入),在庫2ケース+3袋,8時くらいから入れる,広島県広島市中区胡町６−６ 福屋八丁堀本店 南館3F,2,1,Mon,,
80370,＃㈱大阪かに道楽 広島店,〒730-0028 広島県広島市中区流川町７−４,白大(40本入),2ケース在庫,9時以降,広島県広島市中区流川町７−４,2,1,Mon,,
40335,安芸茶寮,〒730-0029 広島県広島市中区三川町９−７,おしぼり140匁(30本入),一階に9袋、二階に12袋,,広島県広島市中区三川町９−７,9,4,Mon,,
90003,㈱LOOP ｸﾗﾌﾞﾊﾞﾛﾝ広島,〒730-0033 広島県広島市中区堀川町２−１０ 第2レックスビル5F,白大(40本入),メモ／回収なければスルー,,広島県広島市中区堀川町２−１０ 第2レックスビル5F,0,1,Mon,,
60112,わいわい,〒730-0022 広島県広島市中区銀山町１１−１３ ソシアルアサヒ舘 ３F,白大(40本入),メモ,,広島県広島市中区銀山町１１−１３ ソシアルアサヒ舘 ３F,0,1,Mon,,
40221,愛菜,〒730-0028 広島県広島市中区流川町６−９ 第一中村ビル 1F,白大(40本入),聞く,,広島県広島市中区流川町６−９ 第一中村ビル 1F,0,1,Mon,,
60857,BLOW CASINO NAGAREKAWA/㈱ｴﾇｹｲ商事,〒730-0028 広島県広島市中区流川町７−６ 白菱第５ビル Ｂ１Ｆ,白リース(50本入),しばらく月曜は2袋。ふだんは回収と同程度納品,回収枚数をレシートに書く,広島県広島市中区流川町７−６ 白菱第５ビル Ｂ１Ｆ,2,1,Mon,,
60734,焼肉 ふるさと流川店,〒730-0028 広島県広島市中区流川町7-25,白大(40本入),2Ｆに8袋在庫,14時頃に来る,広島県広島市中区流川町7-25,2,1,Mon,,
60376,＃や台すし 銀山町,〒730-0022 広島県広島市中区銀山町１２−２２ 松家ビル 1F,白リース(50本入),回収のみ,15時頃に来る,広島県広島市中区銀山町１２−２２ 松家ビル 1F,0,1,Mon,,
80250,ＵＮＩＣＯ,〒730-0022 広島県広島市中区銀山町１２−９ 87ビル ６F,白大(40本入),スルー,,広島県広島市中区銀山町１２−９ 87ビル ６F,0,1,Mon,,
60112,わいわい,〒730-0022 広島県広島市中区銀山町１１−１３ ソシアルアサヒ舘 ３F,白大(40本入),スルー,,広島県広島市中区銀山町１１−１３ ソシアルアサヒ舘 ３F,0,1,Mon,,
60300,Rikako,〒730-0022 広島県広島市中区銀山町１１−１２ アップトーンビル 5F,白大(40本入),2～3在庫,,広島県広島市中区銀山町１１−１２ アップトーンビル 5F,2,1,Mon,,
60696,和ﾀﾞｲﾆﾝｸﾞ＆BAR 遊心,〒730-0022 広島県広島市中区銀山町１２−２２ 松家ビル 2F,白リース(50本入),ＴＥＬ,,広島県広島市中区銀山町１２−２２ 松家ビル 2F,0,1,Mon,,
